"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Myotis ricketti",1,NA,0.319014084507042,0.232394366197183,NA,NA,195.75,0.275704225352113,1
"Myotis californicus",0,0.11558627264061,0.176760563380282,0.538028169014084,NA,NA,330.833333333333,0.276791668344992,1
"Lasiurus blossevillii",0,0.0555290753098189,0.176760563380282,0.598591549295775,NA,NA,261.166666666667,0.276960395995292,1
"Antrozous pallidus",0,0.0828169685414681,0.176760563380282,0.571830985915493,NA,NA,293,0.277136172612414,1
"Myotis chiloensis",0,0.12595328884652,0.176760563380282,0.529577464788732,NA,NA,343.333333333333,0.277430439005178,1
"Canis adustus",0,0.257030505243089,0.243661971830986,0.333802816901408,NA,NA,496.166666666667,0.278165097991828,1
"Myotis grisescens",0,0.11487130600572,0.176760563380282,0.547887323943662,NA,NA,332.166666666667,0.279839731109888,1
"Lasiurus borealis",0,0.148474737845567,0.176760563380282,0.515492957746479,NA,NA,371.5,0.280242752990776,1
"Lemniscomys striatus",0,0.265848427073403,0.257746478873239,0.319718309859155,NA,NA,508.5,0.281104405268599,1
"Myotis evotis",0,0.107006673021926,0.176760563380282,0.563380281690141,NA,NA,324.833333333333,0.282382506030783,1
"Rhinolophus rouxii",0,0.0315776930409914,0.35,0.471830985915493,NA,NA,238.666666666667,0.284469559652161,1
"Felis silvestris",0,0.187559580552908,0.509859154929577,0.157746478873239,NA,NA,420.333333333333,0.285055071451908,1
"Callithrix leucippe",0,NA,0.233098591549296,0.338028169014085,NA,NA,202.75,0.28556338028169,1
"Macaca fascicularis",0,0.31780266920877,0.511267605633803,0.028169014084507,NA,NA,572.166666666667,0.28574642964236,1
"Myotis leibii",0,0.145495710200191,0.176760563380282,0.535211267605634,NA,NA,372,0.285822513728702,1
"Histiotus velatus",0,0.0840085795996187,0.176760563380282,0.597183098591549,NA,NA,300.666666666667,0.285984080523817,1
"Myodes rutilus",0,0.346639656816015,0.297887323943662,0.216901408450704,NA,NA,606.666666666667,0.28714279640346,1
"Didelphis virginiana",0,NA,0.304225352112676,0.271830985915493,NA,NA,204.5,0.288028169014085,1
"Diphylla ecaudata",0,0.164918970448046,0.176760563380282,0.525352112676056,NA,NA,396.833333333333,0.289010548834795,1
"Panthera pardus",0,0.0762631077216397,0.376760563380282,0.415492957746479,NA,NA,294.166666666667,0.289505542949467,1
"Acinonyx jubatus",0,0.280505243088656,0.411267605633803,0.177464788732394,NA,NA,531.666666666667,0.289745879151618,1
"Microtus oeconomus",0,0.322807435653003,0.297887323943662,0.254929577464789,NA,NA,582.333333333333,0.291874779020485,1
"Artibeus fimbriatus",0,0.189942802669209,0.176760563380282,0.511267605633803,NA,NA,428.5,0.292656990561098,1
"Philetor brachypterus",0,0.0378932316491897,0.176760563380282,0.666197183098592,NA,NA,252.5,0.293616992709354,1
"Corynorhinus townsendii",0,0.108913250714967,0.176760563380282,0.604225352112676,NA,NA,337.166666666667,0.296633055402641,1
"Lasiurus intermedius",0,0.0756673021925643,0.176760563380282,0.640845070422535,NA,NA,299.333333333333,0.297757645331794,1
"Odocoileus virginianus",0,0.369041944709247,0.5,0.0309859154929577,NA,NA,641.833333333333,0.300009286734068,1
"Melogale moschata",1,0.224022878932316,0.273943661971831,0.408450704225352,NA,NA,474.833333333333,0.302139081709833,1
"Eptesicus furinalis",0,0.0575548141086749,0.176760563380282,0.674647887323944,NA,NA,282,0.302987754937633,1
"Scotophilus nigrita",0,0.0396806482364156,0.35,0.522535211267606,NA,NA,262,0.304071953168007,1
"Aepyceros melampus",0,0.338298379408961,0.541549295774648,0.0394366197183099,NA,NA,610.666666666667,0.30642809830064,1
"Vulpes velox",0,0.542183031458532,0.315492957746479,0.0619718309859155,NA,NA,847.666666666667,0.306549273396975,1
"Syncerus caffer",0,0.285152526215443,0.598591549295775,0.0366197183098592,NA,NA,549.166666666667,0.306787931273692,1
"Apodemus flavicollis",0,0.24034795042898,0.595774647887324,0.0845070422535211,NA,NA,497.166666666667,0.306876546856608,1
"Taurotragus oryx",0,NA,0.53943661971831,0.0746478873239437,NA,NA,218,0.307042253521127,1
"Lasiurus egregius",0,0.0662535748331745,0.176760563380282,0.67887323943662,NA,NA,295.166666666667,0.307295792550025,1
"Hipposideros larvatus",0,0.0189466158245949,0.52112676056338,0.383098591549296,NA,NA,240.5,0.307723989312424,1
"Histiotus montanus",0,0.0751906577693041,0.176760563380282,0.673239436619718,NA,NA,306.333333333333,0.308396885923101,1
"Apodemus sylvaticus",0,0.243326978074357,0.663380281690141,0.0197183098591549,NA,NA,502,0.308808523207884,1
"Myotis macrodactylus",0,0.0483794089609152,0.35,0.528169014084507,NA,NA,275.5,0.308849474348474,1
"Erythrocebus patas",0,0.419804575786463,0.37887323943662,0.138028169014085,NA,NA,709.5,0.312235328079056,1
"Lasiurus seminolus",0,0.151096282173499,0.176760563380282,0.611267605633803,NA,NA,397.833333333333,0.313041483729194,1
"Microtus gregalis",0,0.32650142993327,0.257746478873239,0.359154929577465,NA,NA,602.666666666667,0.314467612794658,1
"Euderma maculatum",0,0.116658722592946,0.176760563380282,0.650704225352113,NA,NA,359,0.314707837108447,1
"Alces alces",0,0.293732125834128,0.538028169014084,0.114084507042254,NA,NA,565.166666666667,0.315281600630155,1
"Rhinolophus stheno",0,0.00667302192564347,0.452112676056338,0.488732394366197,NA,NA,232,0.31583936411606,1
"Philander opossum",0,NA,0.387323943661972,0.246478873239437,NA,NA,225,0.316901408450704,1
"Genetta genetta",0,0.229504289799809,0.176760563380282,0.545070422535211,NA,NA,491.833333333333,0.317111758571767,1
"Pipistrellus hesperus",0,0.0930648236415634,0.176760563380282,0.68169014084507,NA,NA,333.333333333333,0.317171842622305,1
"Alcelaphus buselaphus",0,0.30862726406101,0.535211267605634,0.108450704225352,NA,NA,584,0.317429745297332,1
"Connochaetes taurinus",0,0.367731172545281,0.541549295774648,0.0436619718309859,NA,NA,652.833333333333,0.317647480050305,1
"Mellivora capensis",0,0.22199714013346,0.176760563380282,0.554929577464789,NA,NA,483.666666666667,0.317895760326177,1
"Kobus ellipsiprymnus",0,0.273713060057197,0.63943661971831,0.0408450704225352,NA,NA,543.833333333333,0.317998250066014,1
