"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","Rank","PropRank","InSample"
"Platyrrhinus vittatus",0,0.71377183967112,0.627240143369176,0.676523297491039,0.493358633776091,0.145921052631579,0.046714795823808,0.289534496365516,0.176175547466482,667.375,0.627723478576857,0
"Pteropus insularis",0,0.462487153134635,0.753584229390681,0.580645161290323,0.716318785578748,0.175526315789474,0.0275656584899508,0.359689295209951,0.117929946939876,673.5,0.628258832348597,0
"Scoteanax rueppellii",0,0.494347379239466,0.816308243727599,0.548387096774194,0.654648956356736,0.174078947368421,0.0209842081062988,0.390717155765935,0.138054938425409,673.5,0.628422919024499,0
"Mormopterus loriae",0,0.935251798561151,0.496415770609319,0.6084229390681,0.479127134724858,0.118421052631579,0.0784601441463059,0.330545358705067,0.181856916692249,662,0.629804410740857,0
"Hipposideros maggietaylorae",0,0.867934224049332,0.712365591397849,0.681899641577061,0.259013282732448,0.126973684210526,0.032930252355396,0.285668563130387,0.279305644592199,668.375,0.630303184939173,0
"Saccopteryx bilineata",0,0.908530318602261,0.597670250896057,0.360215053763441,0.658444022770398,0.122105263157895,0.0515199465230252,0.566222245300217,0.13696302263638,661.75,0.631214911508039,0
"Nyctophilus howensis",0,NA,0.896953405017921,0.367383512544803,NA,NA,0.0157816122126571,0.557818657520803,NA,705.5,0.632168458781362,0
"Glauconycteris machadoi",0,0.608427543679342,0.548387096774194,0.879928315412186,0.495256166982922,0.165921052631579,0.0644092281699638,0.140282438991893,0.176021675201192,677,0.632999780712161,0
"Glauconycteris curryae",0,NA,0.426523297491039,0.842293906810036,NA,NA,0.0955786788224786,0.163612802942805,NA,708,0.634408602150538,0
"Plecotus kolombatovici",0,0.198355601233299,0.970430107526882,0.378136200716846,0.99146110056926,0.2075,0.00924937915822588,0.556630469781188,0.00439072619243391,685.75,0.634595752511572,0
"Myotis alcathoe",0,NA,0.896953405017921,0.372759856630824,NA,NA,0.0157816122126571,0.557065626017054,NA,708.5,0.634856630824373,0
"Chalinolobus picatus",0,0.453751284686536,0.843189964157706,0.763440860215054,0.481024667931689,0.176184210526316,0.0187594508332778,0.2307755196198,0.180792904880775,685.375,0.635351694247746,0
"Mormopterus jugularis",0,0.941932168550874,0.513440860215054,0.516129032258065,0.571157495256167,0.116973684210526,0.0756158932592449,0.422074481506385,0.15744541366833,666.875,0.63566488907004,0
"Pteronotus pristinus",0,NA,0.896953405017921,0.375448028673835,NA,NA,0.0157816122126571,0.556669312531534,NA,710,0.636200716845878,0
"Hipposideros scutinares",0,NA,0.896953405017921,0.378136200716846,NA,NA,0.0157816122126571,0.556630469781188,NA,711.5,0.637544802867384,0
"Pipistrellus sturdeei",0,NA,0.881720430107527,0.39426523297491,NA,NA,0.0162903795386763,0.552656304493697,NA,712,0.637992831541219,0
"Hesperoptenus doriae",0,0.618705035971223,0.442652329749104,0.638888888888889,0.851992409867173,0.164736842105263,0.0913571312926364,0.313699148326133,0.0777150925347086,676.75,0.638059666119097,0
"Glauconycteris kenyacola",0,NA,0.542114695340502,0.770609318996416,0.601518026565465,NA,0.0662572635277543,0.223424216647987,0.150484062000637,699.666666666667,0.638080680300794,0
"Arielulus cuprosus",0,0.523638232271326,0.57258064516129,0.690860215053763,0.765654648956357,0.172631578947368,0.0574378184107245,0.281979738825689,0.102791473843228,681.625,0.638183435360684,0
"Myotis melanorhinus",0,0.331963001027749,0.837813620071685,0.862903225806452,0.521821631878558,0.185789473684211,0.0192937746002319,0.150084304794121,0.170147381764397,692.75,0.638625369696111,0
"Vampyressa thyone",0,0.648509763617677,0.652777777777778,0.351254480286738,0.902277039848197,0.156052631578947,0.0425090289406157,0.571601738938938,0.0611911963033261,675.625,0.638704765382598,0
"Kerivoula africana",0,NA,0.882616487455197,0.395161290322581,NA,NA,0.0162720727235083,0.552641448993062,NA,713,0.638888888888889,0
"Mormoops magna",0,NA,0.896953405017921,0.380824372759857,NA,NA,0.0157816122126571,0.556345168551346,NA,713,0.638888888888889,0
"Artibeus glaucus",0,0.655704008221994,0.635304659498208,0.505376344086022,0.761859582542694,0.154210526315789,0.0448761590851534,0.430818908257342,0.103619912851507,678.5,0.639561148587229,0
"Histiotus humboldti",0,NA,0.896953405017921,0.383512544802867,NA,NA,0.0157816122126571,0.556239515457703,NA,714.5,0.640232974910394,0
"Eumops dabbenei",0,0.756423432682426,0.734767025089606,0.594086021505376,0.476280834914611,0.141447368421053,0.0294379508622754,0.341784191855027,0.185475066693118,680.25,0.640389328548005,0
"Molossus pretiosus",0,0.693730729701953,0.695340501792115,0.613799283154122,0.558823529411765,0.148157894736842,0.0355596370001253,0.327010181825519,0.160540041629996,681.25,0.640423511014989,0
"Pteropus ualanus",0,NA,0.860215053763441,0.767921146953405,0.294117647058824,NA,0.0180206055764491,0.228405913983337,0.264914392620135,709,0.64075128259189,0
"Artibeus concolor",0,0.665981500513875,0.616487455197133,0.670250896057348,0.61100569259962,0.151184210526316,0.0481272642845751,0.292806782222618,0.148329603515185,682,0.640931386091994,0
"Plecotus balensis",0,NA,0.60663082437276,0.675627240143369,NA,NA,0.049353361855623,0.289839994497059,NA,715.5,0.641129032258065,0
"Lasiurus atratus",0,NA,0.896953405017921,0.385752688172043,NA,NA,0.0157816122126571,0.556136258777754,NA,715.75,0.641353046594982,0
"Hipposideros thomensis",0,0.891058581706064,0.504480286738351,0.907706093189964,0.265654648956357,0.124342105263158,0.0772498628363146,0.123563678581135,0.275568933940076,680.75,0.642224902647684,0
"Taphozous hildegardeae",0,0.909558067831449,0.455197132616487,0.527777777777778,0.681214421252372,0.121973684210526,0.0885388631220646,0.407304242376075,0.130615221452666,675,0.643436849869522,0
"Noctilio leporinus",0,0.783144912641315,0.832437275985663,0.28584229390681,0.68595825426945,0.138289473684211,0.0195919196372409,0.629612984205394,0.128993061612688,683.25,0.64684568420081,0
"Pipistrellus collinus",0,0.362281603288798,0.82258064516129,0.799283154121864,0.603415559772296,0.182368421052632,0.0203626687644417,0.19420369145942,0.150052831740459,699.625,0.646890240586062,0
"Idionycteris phyllotis",0,0.52158273381295,0.638888888888889,0.725806451612903,0.712523719165085,0.172763157894737,0.0444973984403697,0.26381689115726,0.120002562379679,695.375,0.649700448369957,0
"Vampyressa pusilla",0,0.823741007194245,0.652777777777778,0.346774193548387,0.781783681214421,0.133157894736842,0.0425090289406157,0.574179761511016,0.0981153923967215,685.25,0.651269164933708,0
"Hipposideros calcaratus",0,0.874614594039055,0.780465949820789,0.660394265232975,0.290322580645161,0.126315789473684,0.0240836660381813,0.299447623479515,0.265487137202602,691.25,0.651449347434495,0
"Glauconycteris alboguttata",0,0.297019527235355,0.467741935483871,0.864695340501792,0.980075901328273,0.189342105263158,0.0861907683403867,0.149587431415772,0.0213529569781241,702.25,0.652383176137323,0
"Artibeus inopinatus",0,0.798561151079137,0.668458781362007,0.710573476702509,0.432637571157495,0.136052631578947,0.0399433364615064,0.269876164878841,0.200249272993713,693,0.652557745075287,0
"Emballonura atrata",0,0.965570400822199,0.53584229390681,0.596774193548387,0.512333965844402,0.110921052631579,0.0678908383764583,0.340160873108679,0.172716349474886,685.875,0.65263021353045,0
"Glischropus javanus",0,NA,0.498207885304659,0.625448028673835,0.836812144212524,NA,0.0782979670277031,0.31937604464337,0.0833776739135218,712,0.653489352730339,0
"Mops petersoni",0,0.837615621788284,0.314516129032258,0.863799283154122,0.600569259962049,0.130921052631579,0.139389244968364,0.149743293031501,0.150510993609116,690.75,0.654125073484178,0
"Sturnira aratathomasi",0,0.867934224049332,0.604838709677419,0.695340501792115,0.462998102466793,0.126973684210526,0.0497077672953999,0.27941648805798,0.190450461142127,695.875,0.657777884496415,0
"Phyllonycteris major",0,NA,0.952508960573477,0.365591397849462,NA,NA,0.0114764089370737,0.559144228467027,NA,735.5,0.65905017921147,0
"Brachyphylla nana",0,0.879753340184995,0.526881720430108,0.730286738351254,0.500948766603416,0.125657894736842,0.0705492116191802,0.258349625075513,0.175361514941148,696.75,0.659467641392443,0
"Myzopoda aurita",0,0.992805755395683,0.369175627240143,0.507168458781362,0.769449715370019,0.104210526315789,0.115392730208631,0.430058354698152,0.102059653219067,688.75,0.659649889196802,0
