"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","Rank","PropRank","InSample"
"Rhinolophus clivosus",1,0.0883864337101747,0.0546594982078853,0.52755905511811,0.228346456692913,0.0761648745519713,NA,NA,0.0142314990512334,0.228289473684211,0.302779010873761,0.599395432266425,0.272638296114225,0.89125400839583,NA,NA,0.618987784223752,73.1666666666667,0.164891302888715,1
"Rhinolophus euryale",1,0.104830421377184,0.0188172043010753,0.62992125984252,0.192913385826772,0.0519713261648745,NA,NA,0.00189753320683112,0.226447368421053,0.354110538493026,0.502929309107118,0.293435947494994,0.918559388071182,NA,NA,0.864616929203417,65.3333333333333,0.166725188453209,1
"Barbastella barbastellus",0,0.0899280575539568,0.046594982078853,0.100393700787402,0.31496062992126,0.110215053763441,NA,NA,0.4146110056926,0.228157894736842,0.310932975588142,0.893975496378212,0.231219995179843,0.860495889040577,NA,NA,0.209897905550629,134.166666666667,0.179450571632919,1
"Pipistrellus kuhlii",1,0.065775950668037,0.0277777777777778,0.574803149606299,0.153543307086614,0.14247311827957,NA,NA,0.136622390891841,0.235394736842105,0.340316562633716,0.535089797132231,0.30205586491062,0.830421676308234,NA,NA,0.401959216872889,97.1666666666667,0.183499282385023,1
"Rhinolophus sinicus",1,0.039054470709147,0.197132616487455,0.645669291338583,0.122047244094488,0.0940860215053763,NA,NA,0.00379506641366224,0.243684210526316,0.205763179255328,0.475437872823098,0.348178144189829,0.878224882262205,NA,NA,0.752196952581983,93.6666666666667,0.183630785091452,1
"Myotis dasycneme",1,0.210688591983556,0.0905017921146953,0.228346456692913,0.299212598425197,0.0448028673835125,NA,NA,0.229601518026565,0.203947368421053,0.262171400799061,0.743308955637129,0.231579471603637,0.924005838873941,NA,NA,0.294008382146612,122,0.183858970771073,1
"Epomophorus labiatus",1,0.117163412127441,0.0313620071684588,0.635826771653543,0.236220472440945,0.0609318996415771,NA,NA,0.023719165085389,0.225263157894737,0.328618512903682,0.491960088587589,0.23998147781372,0.903794299295243,NA,NA,0.575967702026342,77.25,0.184203954686226,1
"Chaerephon pumilus",0,0.221993833504625,0.0707885304659498,0.187007874015748,0.200787401574803,0.0707885304659498,NA,NA,0.393738140417457,0.201447368421053,0.276313982691652,0.804142467993825,0.292565650516427,0.894222591560809,NA,NA,0.217862876101135,147.916666666667,0.190850718407422,1
"Hipposideros pomona",0,0.136690647482014,0.0788530465949821,0.484251968503937,0.208661417322835,0.0528673835125448,NA,NA,0.203984819734345,0.221578947368421,0.271239004853318,0.639598019729521,0.291298225104123,0.918491030069673,NA,NA,0.316770836577425,111.833333333333,0.194218213858443,1
"Myotis myotis",0,0.0668036998972251,0.127240143369176,0.161417322834646,0.267716535433071,0.103046594982079,NA,NA,0.463946869070209,0.235263157894737,0.245586183170295,0.814703447715736,0.236649229660375,0.864782575910048,NA,NA,0.190401440292148,153.333333333333,0.198361860931067,1
