"Sp","Betacov.2021","R.Alb.2021","R.Car3.2021","R.Dal1.2021","R.Far1.2021","R.Gut1.2021","R.Po2.2021","R.Po3.2021","R.Stock1.2021","P.Alb.2021","P.Car3.2021","P.Dal1.2021","P.Far1.2021","P.Gut1.2021","P.Po2.2021","P.Po3.2021","P.Stock1.2021","Rank.2021","PropRank.2021","InSample.2021","Betacov.2020","R.Alb.2020","R.Car3.2020","R.Dal1.2020","R.Far1.2020","R.Gut1.2020","R.Po2.2020","R.Po3.2020","R.Stock1.2020","P.Alb.2020","P.Car3.2020","P.Dal1.2020","P.Far1.2020","P.Gut1.2020","P.Po2.2020","P.Po3.2020","P.Stock1.2020","Rank.2020","PropRank.2020","InSample.2020"
"Nycticeius humeralis",0,0.553956834532374,0.729390681003584,0.450549450549451,0.658088235294118,0.767921146953405,1,1,0.63472485768501,0.172920353982301,0.050271031467561,0.60735946194283,0.2092321631259,0.158279124194135,0.2,0.189291911096422,0.213070100219761,441.8125,0.724328900752243,1,0,0.585817060637205,0.615591397849462,0.37007874015748,0.700787401574803,0.618279569892473,1,1,0.407969639468691,0.168552631578947,0.0481686614697605,0.654902891790269,0.157888805190657,0.324280118641349,0.2,0.159556978454616,0.21136124612297,373.4375,0.662315476197514,1
"Platyrrhinus lineatus",0,0.754367934224049,0.620967741935484,0.450549450549451,0.772058823529412,0.444444444444444,1,1,0.752371916508539,0.141150442477876,0.0682519728728794,0.60735946194283,0.207583489138979,0.460050533246465,0.2,0.189291911096422,0.173891915818691,425.3125,0.724345038898922,1,0,0.739979445015416,0.577956989247312,0.37007874015748,0.704724409448819,0.49910394265233,1,1,0.533206831119545,0.143026315789474,0.0560760006438705,0.654902891790269,0.157859766285909,0.441273169360835,0.2,0.159556978454616,0.166807550677442,386.9375,0.678131294705113,1
"Chalinolobus gouldii",0,0.481500513874615,0.492831541218638,0.846153846153846,0.790441176470588,0.567204301075269,1,1,0.648956356736243,0.177256637168142,0.116604494167717,0.384816115940614,0.207373490796232,0.340214636158426,0.2,0.189291911096422,0.208913307815969,391.875,0.72838596694115,1,0,0.501027749229188,0.478494623655914,0.726377952755906,0.740157480314961,0.445340501792115,1,1,0.531309297912713,0.173552631578947,0.0835693648530875,0.474374651262539,0.157167040035397,0.496831174437264,0.2,0.159556978454616,0.167512135894503,348.6875,0.6778384507076,1
"Saccolaimus flaviventris",0,0.974306269270298,0.482078853046595,0.450549450549451,0.75,0.486559139784946,1,1,0.693548387096774,0.110619469026549,0.120422574835698,0.60735946194283,0.207824347150702,0.437696443611466,0.2,0.189291911096422,0.193310258469191,430.0625,0.729630262468508,1,0,0.980472764645427,0.443548387096774,0.37007874015748,0.850393700787402,0.287634408602151,1,1,0.486717267552182,0.107236842105263,0.0911761268836733,0.654902891790269,0.155633457648029,0.628679482539129,0.2,0.159556978454616,0.17893172409818,366.4375,0.677355658605177,1
"Myotis grisescens",0,0.497944501541624,0.797491039426523,0.450549450549451,0.599264705882353,0.789426523297491,1,1,0.715370018975332,0.176283185840708,0.0347997393346548,0.60735946194283,0.210931712695998,0.145272423888339,0.2,0.189291911096422,0.185304313707164,456.125,0.731255779959097,1,0,0.474820143884892,0.663978494623656,0.37007874015748,0.610236220472441,0.685483870967742,1,1,0.645161290322581,0.174736842105263,0.0405981712718967,0.654902891790269,0.159253313819636,0.283866655561346,0.2,0.159556978454616,0.140264675899699,404.4375,0.681219845053599,1
"Myotis davidii",0,0.342754367934224,0.67831541218638,0.846153846153846,0.6875,0.443548387096774,1,1,0.860531309297913,0.185840707964602,0.0598871428021099,0.384816115940614,0.208853523290224,0.460229715387789,0.2,0.189291911096422,0.133343935340604,408,0.732350415333642,1,0,0.348406988694759,0.896953405017921,0.726377952755906,0.818897637795276,0.385752688172043,1,1,0.809297912713473,0.183157894736842,0.0157816122126571,0.474374651262539,0.156169320562215,0.556136258777754,0.2,0.159556978454616,0.0897883598031439,419.3125,0.748210823143672,1
"Myotis yumanensis",0,0.295477903391572,0.901433691756272,0.450549450549451,0.503676470588235,0.866487455197133,1,1,0.847248576850095,0.190088495575221,0.0210510330730246,0.60735946194283,0.223211593450853,0.0855110739098562,0.2,0.189291911096422,0.137830458605312,470.875,0.733109193541595,1,0,0.358684480986639,0.815412186379928,0.37007874015748,0.614173228346457,0.854838709677419,1,1,0.820683111954459,0.1825,0.021028086012724,0.654902891790269,0.159184914568047,0.154231742348598,0.2,0.159556978454616,0.0871168136248225,458.3125,0.729233807187798,1
"Miniopterus natalensis",0,0.648509763617677,0.598566308243728,0.846153846153846,0.897058823529412,0.338709677419355,1,1,0.537001897533207,0.15787610619469,0.0723452202760325,0.384816115940614,0.205784790455234,0.591351755290523,0.2,0.189291911096422,0.242327046019678,383.9375,0.733250039562153,1,0,0.55087358684481,0.818100358422939,0.726377952755906,0.826771653543307,0.290322580645161,1,1,0.392789373814042,0.170921052631579,0.0208786966486946,0.474374651262539,0.156109625582187,0.627062771320489,0.2,0.159556978454616,0.218363540615249,365,0.700654438253271,1
"Eptesicus diminutus",0,0.300102774922919,0.946236559139785,0.450549450549451,0.735294117647059,0.806451612903226,1,1,0.653700189753321,0.189734513274336,0.0155150651645982,0.60735946194283,0.208015136702931,0.132627390152356,0.2,0.189291911096422,0.207657125732543,451.6875,0.73654183811447,1,0,0.266187050359712,0.809139784946237,0.37007874015748,0.523622047244094,0.844982078853047,1,1,0.554079696394687,0.193947368421053,0.0211945497717876,0.654902891790269,0.162094828596232,0.162034009618029,0.2,0.159556978454616,0.161561921828335,406.8125,0.671011174744407,1
"Lasiurus xanthinus",0,0.32065775950668,0.795698924731183,0.450549450549451,0.676470588235294,0.828853046594982,1,1,0.859582542694497,0.187787610619469,0.0349221853714139,0.60735946194283,0.209026228779126,0.115818481501486,0.2,0.189291911096422,0.134347661609545,461.4375,0.741476539039011,1,0,0.396711202466598,0.732078853046595,0.37007874015748,0.771653543307087,0.831541218637993,1,1,0.604364326375712,0.179868421052632,0.0301338813451614,0.654902891790269,0.156852349619091,0.170539400825528,0.2,0.159556978454616,0.149676464843688,424.5625,0.713303485498933,1
