"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Kerivoula phalaena",0,0.18705035971223,0.268817204301075,0.616487455197133,0.721062618595825,0.2105,0.285142619872794,0.28518703121894,0.139563588170862,0,482.5,0.448354409451566
"Rhinolophus cognatus",0,0.641315519013361,0.354838709677419,0.719534050179211,0.0815939278937381,0.161666666666667,0.206480586265598,0.202273434893496,0.423093874626252,0,477.25,0.449320551690932
"Chaerephon johorensis",0,0.655704008221994,0.367383512544803,0.422939068100358,0.353889943074004,0.154333333333333,0.195256792029059,0.479633585035282,0.258002256202596,0,473.25,0.44997913298529
"Nycteris aurita",0,0.660842754367934,0.531362007168459,0.42831541218638,0.18595825426945,0.151416666666667,0.111751856705464,0.474906579854497,0.352825348984358,0,477.5,0.451619606998056
"Murina puta",0,0.49743062692703,0.372759856630824,0.424731182795699,0.51707779886148,0.175583333333333,0.190559261048935,0.477949147188584,0.203163074966557,0,479.75,0.452999866303758
"Neoromicia melckorum",0,0.200924974306269,0.53673835125448,0.742831541218638,0.333017077798861,0.208166666666667,0.108043363771728,0.189180230862404,0.267114693255158,0,493.625,0.453377986144562
"Craseonycteris thonglongyai",0,0.963514902363823,0.288530465949821,0.338709677419355,0.22865275142315,0.114666666666667,0.267503157022183,0.573495954976453,0.326393742107768,0,469.625,0.454851949289037
"Paranyctimene tenax",0,NA,0.468637992831541,0.441756272401434,NA,NA,0.139705579694085,0.461173894519936,NA,0,508,0.455197132616487
"Nyctimene certans",0,0.460945529290853,0.573476702508961,0.637096774193548,0.149905123339658,0.1775,0.090780306135624,0.262818576254672,0.37462809822738,0,489.375,0.455356032333255
"Myotis ridleyi",0,0.0873586844809866,0.332437275985663,0.50179211469534,0.902277039848197,0.228666666666667,0.232528852772797,0.3956861811406,0.0805019175237618,0,491.75,0.455966278752547
"Eptesicus japonensis",0,0.555498458376156,0.546594982078853,0.448924731182796,0.282732447817837,0.17225,0.101481984667053,0.452710216725283,0.291834003663151,0,487.375,0.45843765486391
"Triaenops rufus",0,0.838129496402878,0.492831541218638,0.318996415770609,0.185009487666034,0.130666666666667,0.131944180545746,0.603648262756472,0.353350842786248,0,479.125,0.45874173526454
"Hipposideros durgadasi",0,0.886947584789311,0.290322580645161,0.531362007168459,0.129981024667932,0.123833333333333,0.266894986204523,0.380161079324053,0.385294197569176,0,479.25,0.459653299317716
"Otomops martiensseni",0,0.475334018499486,0.35573476702509,0.258064516129032,0.750474383301708,0.176666666666667,0.206130474384994,0.715069735699586,0.130727872710047,0,484.625,0.459901921238829
"Kerivoula smithii",0,0.194758478931141,0.298387096774194,0.57258064516129,0.775142314990512,0.209083333333333,0.262710268253723,0.337673277014698,0.12196217670398,0,494.625,0.460217133964284
"Scotophilus celebensis",0,0.332476875642343,0.540322580645161,0.432795698924731,0.540796963946869,0.186833333333333,0.106356949837022,0.471678907126393,0.19476420995399,0,494.875,0.461598029789776
"Glauconycteris humeralis",0,0.217368961973279,0.532258064516129,0.493727598566308,0.611954459203036,0.20525,0.111439204298805,0.398299129660589,0.172744689990329,0,500.375,0.463827271064688
"Pteropus pohlei",0,0.414182939362795,0.574372759856631,0.600358422939068,0.267552182163188,0.18,0.0904587290191992,0.307544204501022,0.300393186482658,0,499,0.464116576080421
"Nyctophilus bifax",0,0.431140801644399,0.423835125448029,0.359318996415771,0.642314990512334,0.178666666666667,0.161608111875026,0.548717820085668,0.162450912192965,0,492.625,0.464152478505133
"Murina grisea",0,NA,0.308243727598566,0.576164874551971,0.514231499051233,NA,0.248222277818742,0.330445118202262,0.204230434382594,0,509.666666666667,0.466213367067257
"Scotophilus collinus",0,0.140801644398767,0.650537634408602,0.508064516129032,0.565464895635674,0.220083333333333,0.0689979390459354,0.394086060741762,0.186736351810179,0,506.5,0.466217172643019
"Nyctimene draconilla",0,0.505652620760534,0.579749103942652,0.68010752688172,0.101518026565465,0.17525,0.0874168973794697,0.228105883781896,0.410802355954017,0,501.25,0.466756819537593
"Platymops setiger",0,0.70606372045221,0.453405017921147,0.334229390681004,0.374762808349146,0.143916666666667,0.147003834197363,0.581692704800812,0.24854232755018,0,490.25,0.467115234350877
"Falsistrellus mordax",0,0.241007194244604,0.373655913978495,0.545698924731183,0.710626185958254,0.199583333333333,0.189215310348927,0.363769968667059,0.142211728992711,0,502.375,0.467747054728134
"Hesperoptenus tomesi",0,0.254881808838643,0.403225806451613,0.367383512544803,0.846299810246679,0.196166666666667,0.173876801022536,0.543231714384067,0.0965768656021117,0,500,0.467947734520435
"Cheiromeles parvidens",0,0.676772867420349,0.405913978494624,0.290322580645161,0.5,0.147083333333333,0.171838670153511,0.650380090950914,0.206867077281938,0,490.625,0.468252356640034
"Hypsugo imbricatus",0,NA,0.331541218637993,0.332437275985663,0.741935483870968,NA,0.23285591669057,0.586742978248725,0.132128634927329,0,507.666666666667,0.468637992831541
"Nyctimene cyclotis",0,0.623329907502569,0.524193548387097,0.590501792114695,0.144212523719165,0.166583333333333,0.114030273501919,0.319919219947828,0.377241762674596,0,500.625,0.470559442930882
"Pteropus temminckii",0,0.49743062692703,0.466845878136201,0.698924731182796,0.222011385199241,0.175583333333333,0.1400176268987,0.212507908554335,0.328484427352303,0,504.75,0.471303155361317
"Chaerephon shortridgei",0,NA,0.473118279569892,0.624551971326165,0.316888045540797,NA,0.138749880521748,0.278708083567649,0.27188013558526,0,519.666666666667,0.471519432145618
"Hypsugo anthonyi",0,NA,0.266129032258065,0.665770609318996,0.483870967741935,NA,0.289660693020574,0.2379248942148,0.210747144385947,0,516.666666666667,0.471923536439666
"Plecotus teneriffae",0,0.544193216855087,0.340501792114695,0.639784946236559,0.368121442125237,0.17325,0.222877421754309,0.260043593584318,0.250378012261463,0,502.875,0.473150349332895
"Nyctimene robinsoni",0,0.617677286742035,0.545698924731183,0.431899641577061,0.298861480075901,0.168083333333333,0.102381222036852,0.472631618631223,0.281545457435285,0,501.75,0.473534333281545
"Hypsugo joffrei",0,0.559095580678314,0.254480286738351,0.619175627240143,0.462049335863378,0.172083333333333,0.301003331303589,0.282158917439196,0.216901261650064,0,501.5,0.473700207630047
"Phoniscus atrox",0,0.176772867420349,0.342293906810036,0.565412186379928,0.811195445920304,0.213,0.222055937199873,0.340719114869096,0.109653897856736,0,510,0.473918601632654
"Tadarida fulminans",0,0.668036998972251,0.498207885304659,0.324372759856631,0.411764705882353,0.149,0.1301184319133,0.592272720019558,0.233508821937802,0,500.5,0.475595587503974
"Glauconycteris superba",0,NA,0.289426523297491,0.43010752688172,0.71157495256167,NA,0.267501194210697,0.473887855004837,0.142206965815295,0,517.666666666667,0.47703633424696
"Myopterus whitleyi",0,0.656731757451182,0.258960573476702,0.409498207885305,0.583491461100569,0.153916666666667,0.295898851592377,0.493513467627174,0.177988157326619,0,500,0.47717049997844
"Myotis morrisi",0,NA,0.335125448028674,0.293906810035842,0.802656546489564,NA,0.227307488808198,0.642320957943109,0.11253610960487,0,516,0.477229601518027
"Kerivoula intermedia",0,0.150565262076053,0.405017921146953,0.554659498207885,0.801707779886148,0.21825,0.173023069005077,0.352925847496536,0.112552457346591,0,515.625,0.47798761532926
"Myotis frater",0,0.199383350462487,0.604390681003584,0.537634408602151,0.572106261859583,0.208416666666667,0.0796846674005473,0.372986013239546,0.1820477394774,0,517.875,0.478378675481951
"Pteropus loochoensis",0,0.452209660842754,0.468637992831541,0.440860215053763,0.552182163187856,0.177833333333333,0.139705579694085,0.461555343545284,0.190508719085759,0,509.25,0.478472507978979
"Cloeotis percivali",0,0.661870503597122,0.522401433691756,0.564516129032258,0.171726755218216,0.150416666666667,0.114349484297123,0.340875412161996,0.362526199090701,0,509.5,0.480128705384838
"Hypsugo macrotis",0,0.263103802672148,0.378136200716846,0.538530465949821,0.742884250474383,0.194916666666667,0.186456171641574,0.372396244933905,0.132103738391703,0,515.5,0.4806636799533
