"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","InSample","Rank","PropRank"
"Scotophilus leucogaster",1,0.0940390544707091,0.0349462365591398,0.3003663003663,0.335740072202166,0.0896057347670251,1,0.265765765765766,0.370018975332068,0.227666666666667,0.519540367012876,0.737621749265733,0.314051772445765,0.917690721612167,0.2,0.302316388647324,0.250341555146308,1,125,0.311310267432897
"Scotophilus heathii",1,0.0369989722507708,0.120071684587814,0.652014652014652,0.563176895306859,0.0564516129032258,NA,0.475225225225225,0.276091081593928,0.244416666666667,0.418757213759284,0.493257746318137,0.221054225217242,0.934026908787384,NA,0.280338366669302,0.295661310768266,1,137.642857142857,0.311432874840353
"Myotis dasycneme",1,0.237410071942446,0.113799283154122,0.122710622710623,0.292418772563177,0.120071684587814,1,0.265765765765766,0.389943074003795,0.200666666666667,0.42122135764072,1.07546082768289,0.317269962318537,0.901512345038972,0.2,0.302316388647324,0.242903599404372,1,152.75,0.317764909340968
"Barbastella barbastellus",0,0.163926002055498,0.0833333333333333,0.157509157509158,0.382671480144404,0.175627240143369,0.36426116838488,0.695945945945946,0.523719165085389,0.215583333333333,0.459219682635725,1.02317095474501,0.31025006181037,0.847182448709916,0.4,0.225393311724247,0.199769279509852,1,169.625,0.318374186575247
"Hypsugo savii",1,0.18191161356629,0.0734767025089606,0.3003663003663,0.303249097472924,0.158602150537634,1,0.265765765765766,0.268500948766603,0.211916666666667,0.469206230306038,0.737621749265733,0.316754902403648,0.869202670516942,0.2,0.302316388647324,0.299872314377021,1,136.1875,0.31898407237306
"Hipposideros ruber",1,0.347893114080164,0.0994623655913978,0.3003663003663,0.259927797833935,0.0994623655913978,1,0.265765765765766,0.181214421252372,0.185333333333333,0.43690692851321,0.737621749265733,0.319301943977855,0.912344302696269,0.2,0.302316388647324,0.354655376679854,1,138.75,0.319261516310167
"Pipistrellus hesperidus",1,0.141829393627955,0.0448028673835125,0.652014652014652,0.592057761732852,0.157706093189964,NA,0.475225225225225,0.183111954459203,0.22,0.506888785812583,0.493257746318137,0.219933271366329,0.870049489593108,NA,0.280338366669302,0.354369917235357,1,143.5,0.320963992519052
"Pteronotus parnellii",1,0.980472764645427,0.612903225806452,0.0293040293040293,0.101083032490975,0.283154121863799,0.151202749140893,0.0900900900900901,0.321631878557875,0.109833333333333,0.0766734758773148,1.47928872297985,0.460276088826713,0.660512938079925,0.6,0.346272432603368,0.270230768768987,1,296.375,0.321230236487442
"Myotis blythii",0,0.0770811921891059,0.296594982078853,0.21978021978022,0.245487364620939,0.0734767025089606,0.36426116838488,0.695945945945946,0.600569259962049,0.232083333333333,0.263725897622596,0.846114482672009,0.322852250763831,0.926398173131897,0.4,0.225393311724247,0.17572490336938,1,182.0625,0.321649604433869
"Rhinopoma hardwickii",1,0.533401849948613,0.0152329749103943,0.3003663003663,0.379061371841155,0.0241935483870968,1,0.265765765765766,0.0787476280834915,0.173833333333333,0.560015681688496,0.737621749265733,0.311264582265205,0.953546044128978,0.2,0.302316388647324,0.425005313877163,1,129.6875,0.324596179912852
"Rhinolophus rex",1,0.452209660842754,0.112903225806452,0.3003663003663,0.227436823104693,0.238351254480287,1,0.265765765765766,0.0104364326375712,0.177833333333333,0.422766202070722,0.737621749265733,0.356687247078875,0.757173474723069,0.2,0.302316388647324,0.554030838920263,1,149.0625,0.325933682875478
"Ptenochirus jagori",1,0.253340184994861,0.148745519713262,0.652014652014652,0.55956678700361,0.166666666666667,NA,0.475225225225225,0.0341555977229602,0.1965,0.396175472622696,0.493257746318137,0.221072123193086,0.86119256153982,NA,0.280338366669302,0.47736194912748,1,153.285714285714,0.32710209047732
"Pteropus scapulatus",0,0.334532374100719,0.28673835125448,0.256410256410256,0.148014440433213,0.292114695340502,0.151202749140893,0.623873873873874,0.543643263757116,0.186666666666667,0.269096365230221,0.75362158649801,0.408607677435228,0.646909418997138,0.6,0.247371333702269,0.193525106866046,1,227,0.329566250538882
"Myotis myotis",0,0.118705035971223,0.218637992831541,0.21978021978022,0.263537906137184,0.136200716845878,0.36426116838488,0.695945945945946,0.61954459203036,0.22375,0.336221052731837,0.846114482672009,0.319155983067805,0.885110476613355,0.4,0.225393311724247,0.168579099059609,1,188.125,0.329576697240904
"Mops condylurus",1,0.36639260020555,0.0367383512544803,0.3003663003663,0.368231046931408,0.0277777777777778,1,0.265765765765766,0.285578747628083,0.183916666666667,0.518699543219578,0.737621749265733,0.312168934725416,0.94993076987656,0.2,0.302316388647324,0.290502145039912,1,139.75,0.331356323741171
"Vespertilio sinensis",1,0.32065775950668,0.102150537634409,0.192307692307692,0.371841155234657,0.172939068100358,1,0.265765765765766,0.251423149905123,0.187916666666667,0.434863040710702,0.887810463927241,0.31208798378503,0.856261966447581,0.2,0.302316388647324,0.313047919809862,1,155.5,0.334635641056836
"Pipistrellus pygmaeus",1,0.220966084275437,0.101254480286738,0.652014652014652,0.646209386281588,0.149641577060932,NA,0.475225225225225,0.136622390891841,0.203916666666667,0.435424952077174,0.493257746318137,0.21843078415299,0.87543425245672,NA,0.280338366669302,0.379930559142926,1,157.357142857143,0.34027625657663
"Chaerephon plicatus",1,0.229188078108941,0.118279569892473,0.565934065934066,0.411552346570397,0.021505376344086,1,0.265765765765766,0.114800759013283,0.202916666666667,0.419221356433512,0.560227153668581,0.30600358061853,0.954533632133559,0.2,0.302316388647324,0.395341647497283,1,121.625,0.340878245203627
"Miniopterus magnater",0,0.194758478931141,0.0725806451612903,0.3003663003663,0.364620938628159,0.139784946236559,1,0.265765765765766,0.409867172675522,0.209083333333333,0.469675941822625,0.737621749265733,0.312189383448493,0.883287179937882,0.2,0.302316388647324,0.234468191004554,1,155.75,0.343468030970592
